DataDate,Symbol,Close,Spreed,ClosePrice,AvgPrice,OpenPrice,MaxPrice,MinPrice,Volume,BuyCount,BuyVolume,SellCount,SellVolume
04/01/2016,AAA,12.6,0.032520325,12.6,12.47,12.3,12.7,12.3,324250,124,439800,186,485300
05/01/2016,AAA,13.5,0.096774194,13.5,13.4,12.4,13.6,12.4,1842018,202,2038400,408,2143000
06/01/2016,AAA,13.2,0.046153846,13.2,13.21,13.5,13.6,13,249405,140,415000,171,636100
07/01/2016,AAA,13.2,0.046511628,13.2,13.07,13.1,13.5,12.9,334090,115,439900,156,601300
08/01/2016,AAA,13.1,0.031496063,13.1,12.88,13,13.1,12.7,168020,99,455000,94,356900
11/01/2016,AAA,13.8,0.069230769,13.8,13.72,13,13.9,13,614427,102,805100,227,878900
12/01/2016,AAA,14.3,0.073529412,14.3,14.18,13.9,14.6,13.6,916709,173,1212000,284,1158800
13/01/2016,AAA,13.9,0.043165468,13.9,14.12,14.3,14.5,13.9,189045,92,280500,169,465900
14/01/2016,AAA,14.5,0.087591241,14.5,14.45,13.7,14.9,13.7,802285,154,965200,283,1029400
15/01/2016,AAA,14.9,0.055555556,14.9,14.92,14.4,15.2,14.4,509115,136,721700,210,831000
18/01/2016,AAA,14.4,0.064285714,14.4,14.33,14.9,14.9,14,626829,180,715400,176,738300
19/01/2016,AAA,14.5,0.049295775,14.5,14.4,14.4,14.9,14.2,306011,158,443100,95,457600
20/01/2016,AAA,14.7,0.055944056,14.7,14.79,14.5,15.1,14.3,821924,286,1048400,209,1062100
21/01/2016,AAA,15.7,0.074829932,15.7,15.39,14.7,15.8,14.7,876915,308,1222700,228,1130100
22/01/2016,AAA,15.5,0.039215686,15.5,15.57,15.7,15.9,15.3,397410,221,659500,196,644000
25/01/2016,AAA,15.5,0.039735099,15.5,15.37,15.5,15.7,15.1,415210,178,574400,157,585100
26/01/2016,AAA,14,0.1,14,14.75,15.4,15.4,14,667213,194,677600,200,910500
27/01/2016,AAA,14.1,0.094890511,14.1,14.35,14,15,13.7,540042,191,699300,177,685800
28/01/2016,AAA,14.2,0.035460993,14.2,14.4,14.1,14.6,14.1,180725,107,307500,128,515800
29/01/2016,AAA,13.6,0.07518797,13.6,13.78,14.3,14.3,13.3,327977,190,405700,163,566900
01/02/2016,AAA,14.2,0.044117647,14.2,13.95,13.6,14.2,13.6,929010,161,1554700,167,1044500
02/02/2016,AAA,14.4,0.042253521,14.4,14.51,14.2,14.8,14.2,650180,180,1166800,180,858400
03/02/2016,AAA,14.2,0.021126761,14.2,14.27,14.5,14.5,14.2,498600,123,697600,138,627500
04/02/2016,AAA,14.3,0.013986014,14.3,14.33,14.5,14.5,14.3,189590,70,574200,102,299500
05/02/2016,AAA,14.2,0.014084507,14.2,14.27,14.2,14.4,14.2,131200,32,205300,76,206500
15/02/2016,AAA,14.8,0.042253521,14.8,14.47,14.2,14.8,14.2,123428,73,257200,77,203300
16/02/2016,AAA,14.8,0.02027027,14.8,14.91,14.8,15.1,14.8,510890,164,658000,172,664700
17/02/2016,AAA,15,0.033783784,15,15.03,14.8,15.3,14.8,474760,103,610800,172,725700
18/02/2016,AAA,15.1,0.013333333,15.1,15.13,15,15.2,15,240880,88,399100,131,420800
19/02/2016,AAA,15,0.034246575,15,14.87,15.1,15.1,14.6,398570,118,457500,129,494700
22/02/2016,AAA,14.8,0.020408163,14.8,14.81,14.9,15,14.7,173963,72,234200,106,344600
23/02/2016,AAA,14.5,0.027586207,14.5,14.65,14.8,14.9,14.5,251510,96,298900,94,393300
24/02/2016,AAA,14.6,0.020833333,14.6,14.5,14.5,14.7,14.4,306984,135,426100,84,395800
25/02/2016,AAA,14.7,0.034246575,14.7,14.91,14.7,15.1,14.6,278800,93,334900,146,604400
26/02/2016,AAA,14.6,0.020689655,14.6,14.63,14.7,14.8,14.5,147340,75,217900,85,321200
29/02/2016,AAA,14.4,0.020833333,14.4,14.54,14.6,14.7,14.4,140280,62,238800,69,261000
01/03/2016,AAA,14.5,0.013888889,14.5,14.52,14.4,14.6,14.4,149505,74,233400,82,239900
02/03/2016,AAA,15,0.055172414,15,15.02,14.5,15.3,14.5,500150,147,678100,233,727000
03/03/2016,AAA,14.9,0.013422819,14.9,14.93,15,15.1,14.9,172060,57,249400,124,464200
04/03/2016,AAA,14.9,0.006711409,14.9,14.95,14.9,15,14.9,175700,79,281300,101,293100
